id ; assunto;		
0 ; Sem assunto;		
1 ; Avaliação de riscos;		
2 ; Bibliografia;		
3 ; Condições rurais;		
4 ; Diferenças entre os sexos;		
5 ; Abastecimento e armazenamento;		
6 ; Absorção e adsorção;		
7 ; Acentos e acentuação;		
8 ; Acidentes;		
9 ; Aconselhamento;		
10 ; Aconselhamento pastoral;		
11 ; Acupuntura;		
12 ; Adaptação;		
13 ; Adaptações;		
14 ; Adaptações para o cinema;		
15 ; Adaptações para o teatro;		
16 ; Adestramento;		
17 ; Administração;		
18 ; Administração de pessoal;		
19 ; Administração do tempo;		
20 ; Administração financeira;		
21 ; Adubos e fertilizantes;		
22 ; Aerodinâmica;		
23 ; Afixos;		
24 ; Agricultura;		
25 ; Alfabeto;		
26 ; Alimentação e rações;		
27 ; Alimentos;		
28 ; Alusões;		
29 ; Amigos e companheiros;		
30 ; Amostragem;		
31 ; Análise;		
32 ; Análise do discurso;		
33 ; Análise	 apreciação;	
34 ; Analogia;		
35 ; Anatomia;		
36 ; Anedotas;		
37 ; Aniversários	 etc.;	
38 ; Anomalias;		
39 ; Anquilose;		
40 ; Antiguidades;		
41 ; Antropometria;		
42 ; Anuários;		
43 ; Aparelho digestivo;		
44 ; Aparelho respiratório;		
45 ; Aparições e milagres;		
46 ; Aplicações industriais;		
47 ; Apologética;		
48 ; Aposentadoria;		
49 ; Apreciação;		
50 ; Aproveitamento energético;		
51 ; Aquecimento e ventilação;		
52 ; Ar condicionado;		
53 ; Armazenamento;		
54 ; Arquivos;		
55 ; Arte;		
56 ; Arte e a guerra;		
57 ; Aspectos ambientais;		
58 ; Aspectos antropológicos;		
59 ; Aspectos biológicos;		
60 ; Aspectos da saúde;		
61 ; Aspectos econômicos;		
62 ; Aspectos estratégicos;		
63 ; Aspectos fisiológicos;		
64 ; Aspectos genéticos;		
65 ; Aspectos imunológicos;		
66 ; Aspectos militares;		
67 ; Aspectos moleculares;		
68 ; Aspectos morais e éticos;		
69 ; Aspectos nutricionais;		
70 ; Aspectos políticos;		
71 ; Aspectos psicológicos;		
72 ; Aspectos psicossomáticos;		
73 ; Aspectos psíquicos;		
74 ; Aspectos religiosos;		
75 ; Aspectos sociais;		
76 ; Aspectos sociológicos;		
77 ; Assimilação cultural;		
78 ; Assistência domiciliar;		
79 ; Assistência em instituições;		
80 ; Assistência hospitalar;		
81 ; Assistência social;		
82 ; Atitudes;		
83 ; Atividades políticas;		
84 ; Atlas;		
85 ; Atrocidades;		
86 ; Auditoria;		
87 ; Automação;		
88 ; Autoria;		
89 ; Avaliação;		
90 ; Avaliação de riscos de saúde;		
91 ; Avaliação sensorial;		
92 ; Aviação;		
93 ; Banco de dados;		
94 ; Bibliotecas;		
95 ; Biobibliografia;		
96 ; Biocompatibilidade;		
97 ; Biografia;		
98 ; Biópsia;		
99 ; Biotecnologia;		
100 ; Bispos;		
101 ; Bolsas de estudo;		
102 ; Cadernos de notas	 desenhos	 etc.;
103 ; Calcificação;		
104 ; Calendários;		
105 ; Calibração;		
106 ; Camas - Desenhos;		
107 ; Campanhas;		
108 ; Câncer;		
109 ; Canções e música;		
110 ; Características físicas;		
111 ; Carcaças;		
112 ; Caricaturas e desenhos humorísticos;		
113 ; Cartas e instruções pastorais;		
114 ; Cartas	 diagramas	 etc.;
115 ; Cartazes;		
116 ; Casamento;		
117 ; Catálogos;		
118 ; Catálogos coletivos;		
119 ; Catálogos de filmes;		
120 ; Catálogos e coleções;		
121 ; Catecismos;		
122 ; Cativeiro	 2002-2008;	
123 ; Causas;		
124 ; Cenários;		
125 ; Censo;		
126 ; Censo demográfico;		
127 ; Censura;		
